episode,reward,success,epsilon
1,-20.799999999999997,0.0,1.0
2,-22.6,0.0,1.0
3,-20.799999999999997,0.0,1.0
4,-22.6,0.0,1.0
5,-20.799999999999997,0.0,1.0
6,-17.2,0.0,1.0
7,-20.799999999999997,0.0,1.0
8,-15.4,0.0,0.9655206468094844
9,-22.6,0.0,0.9369146928798039
10,-21.7,0.0,0.9046104802746175
11,-22.6,0.0,0.8778091417340573
12,-19.9,0.0,0.8390886103705794
13,-19.9,0.0,0.8020760579717637
14,-20.799999999999997,0.0,0.7705488893118823
15,-21.7,0.0,0.7439808620067382
16,-18.1,0.0,0.7040696960536299
17,-20.799999999999997,0.0,0.6763948591909945
18,-19.9,0.0,0.6465587967553006
19,-22.6,0.0,0.6274028820538087
20,-20.799999999999997,0.0,0.6027415843082742
21,-19.9,0.0,0.5761543988830038
22,-16.299999999999997,0.0,0.5398075216808175
23,-19.0,0.0,0.5134164023722473
24,-19.9,0.0,0.4907693883854626
25,-19.9,0.0,0.46912134373457726
26,-14.5,0.0,0.4351424010585501
27,-19.0,0.0,0.41386834584198684
28,-17.2,0.0,0.3897078735047413
29,-20.799999999999997,0.0,0.3743896431025813
30,-19.9,0.0,0.3578751580867638
31,-19.0,0.0,0.3403786882983606
32,-19.9,0.0,0.3253644408394192
33,-19.0,0.0,0.30945741577570285
34,-19.0,0.0,0.2943280830920294
35,-14.5,0.0,0.2730095965279488
36,-16.3,0.0,0.25578670228422234
37,-19.0,0.0,0.24328132378095624
38,-18.1,0.0,0.23023039494318503
39,-19.0,0.0,0.2189744609715989
40,-20.799999999999997,0.0,0.21036724137609603
41,-19.9,0.0,0.2010878536592394
42,-19.0,0.0,0.1912566947289212
43,-20.799999999999997,0.0,0.18373897616330553
44,-18.1,0.0,0.17388222158237718
45,-19.9,0.0,0.1662122034722543
46,-16.299999999999997,0.0,0.1557266555690826
47,-19.9,0.0,0.14885748713096328
48,15.700000000000003,1.0,0.13946676683816583
49,-19.9,0.0,0.13331482894782642
50,-19.9,0.0,0.12743425563174798
51,-19.9,0.0,0.12181307688414106
52,-19.0,0.0,0.11585765144771248
53,-17.2,0.0,0.10909420695870241
54,-18.1,0.0,0.1032418023864836
55,-19.0,0.0,0.09819432413732986
56,-21.7,0.0,0.09480864735409487
57,-16.3,0.0,0.0888276147181114
58,-20.799999999999997,0.0,0.08533607153708872
59,-22.6,0.0,0.08280777787605056
60,-22.6,0.0,0.08035439121179945
61,-19.0,0.0,0.07642587550895225
62,-17.2,0.0,0.07196434741762824
63,-19.0,0.0,0.06844601986126451
64,-19.0,0.0,0.06509970288011008
65,-19.9,0.0,0.062228127537270826
66,-19.0,0.0,0.05918580250061433
67,-18.1,0.0,0.05601075525639029
68,-19.0,0.0,0.05327239673939179
69,-18.1,0.0,0.05041457663196215
70,-19.9,0.0,0.05
71,-19.9,0.0,0.05
72,-19.0,0.0,0.05
73,-19.9,0.0,0.05
74,-17.2,0.0,0.05
75,-18.1,0.0,0.05
76,-14.5,0.0,0.05
77,-17.2,0.0,0.05
78,-21.7,0.0,0.05
79,-19.9,0.0,0.05
80,-17.2,0.0,0.05
81,-17.2,0.0,0.05
82,-17.2,0.0,0.05
83,-16.3,0.0,0.05
84,-19.0,0.0,0.05
85,-19.0,0.0,0.05
86,-18.1,0.0,0.05
87,-16.3,0.0,0.05
88,-20.799999999999997,0.0,0.05
89,-18.1,0.0,0.05
90,-19.0,0.0,0.05
91,-21.7,0.0,0.05
92,-18.1,0.0,0.05
93,-17.200000000000003,0.0,0.05
94,8.2,1.0,0.05
95,-16.3,0.0,0.05
96,-15.4,0.0,0.05
97,-18.1,0.0,0.05
98,-19.9,0.0,0.05
99,-20.799999999999997,0.0,0.05
100,-22.6,0.0,0.05
101,-19.9,0.0,0.05
102,4.9,1.0,0.05
103,-18.1,0.0,0.05
104,-21.7,0.0,0.05
105,-19.9,0.0,0.05
106,-18.1,0.0,0.05
107,-16.3,0.0,0.05
108,-18.1,0.0,0.05
109,-18.1,0.0,0.05
110,-18.1,0.0,0.05
111,-19.0,0.0,0.05
112,-19.0,0.0,0.05
113,-19.0,0.0,0.05
114,-14.5,0.0,0.05
115,-19.9,0.0,0.05
116,-15.4,0.0,0.05
117,-18.1,0.0,0.05
118,-17.2,0.0,0.05
119,-16.3,0.0,0.05
120,-18.1,0.0,0.05
121,-16.3,0.0,0.05
122,-19.0,0.0,0.05
123,-19.9,0.0,0.05
124,-19.0,0.0,0.05
125,-19.9,0.0,0.05
126,-17.2,0.0,0.05
127,-20.799999999999997,0.0,0.05
128,-14.5,0.0,0.05
129,-19.0,0.0,0.05
130,-21.7,0.0,0.05
131,-19.9,0.0,0.05
132,-19.0,0.0,0.05
133,10.6,1.0,0.05
134,-19.9,0.0,0.05
135,-19.9,0.0,0.05
136,-20.799999999999997,0.0,0.05
137,-17.200000000000003,0.0,0.05
138,-19.9,0.0,0.05
139,-18.1,0.0,0.05
140,-19.0,0.0,0.05
141,-16.3,0.0,0.05
142,-16.3,0.0,0.05
143,-19.0,0.0,0.05
144,-18.1,0.0,0.05
145,4.9,1.0,0.05
146,-19.0,0.0,0.05
147,-20.799999999999997,0.0,0.05
148,-19.0,0.0,0.05
149,-14.5,0.0,0.05
150,-14.5,0.0,0.05
151,-19.0,0.0,0.05
152,-19.9,0.0,0.05
153,-18.1,0.0,0.05
154,-19.9,0.0,0.05
155,-20.799999999999997,0.0,0.05
156,-18.1,0.0,0.05
157,-20.799999999999997,0.0,0.05
158,-17.2,0.0,0.05
159,-21.7,0.0,0.05
160,-18.1,0.0,0.05
161,-19.0,0.0,0.05
162,-18.1,0.0,0.05
163,-19.0,0.0,0.05
164,-19.9,0.0,0.05
165,-20.799999999999997,0.0,0.05
166,-21.7,0.0,0.05
167,-19.0,0.0,0.05
168,-20.799999999999997,0.0,0.05
169,-19.9,0.0,0.05
170,-18.1,0.0,0.05
171,-19.9,0.0,0.05
172,-21.7,0.0,0.05
173,-19.9,0.0,0.05
174,-17.2,0.0,0.05
175,-17.2,0.0,0.05
176,-18.1,0.0,0.05
177,-19.0,0.0,0.05
178,-15.4,0.0,0.05
179,-20.799999999999997,0.0,0.05
180,-19.9,0.0,0.05
181,-19.0,0.0,0.05
182,-19.9,0.0,0.05
183,-19.9,0.0,0.05
184,-18.1,0.0,0.05
185,-20.799999999999997,0.0,0.05
186,-17.2,0.0,0.05
187,-16.299999999999997,0.0,0.05
188,-19.0,0.0,0.05
189,-17.2,0.0,0.05
190,-16.3,0.0,0.05
191,-15.4,0.0,0.05
192,-19.0,0.0,0.05
193,-20.799999999999997,0.0,0.05
194,-19.0,0.0,0.05
195,-18.1,0.0,0.05
196,-19.9,0.0,0.05
197,-16.3,0.0,0.05
198,-16.299999999999997,0.0,0.05
199,-14.5,0.0,0.05
200,-19.0,0.0,0.05
201,-20.799999999999997,0.0,0.05
202,-19.0,0.0,0.05
203,-19.0,0.0,0.05
204,-21.7,0.0,0.05
205,7.0,1.0,0.05
206,-17.2,0.0,0.05
207,8.8,1.0,0.05
208,-20.799999999999997,0.0,0.05
209,7.9,1.0,0.05
210,-15.4,0.0,0.05
211,-17.2,0.0,0.05
212,-22.6,0.0,0.05
213,-17.2,0.0,0.05
214,-21.7,0.0,0.05
215,10.0,1.0,0.05
216,-19.9,0.0,0.05
217,-20.799999999999997,0.0,0.05
218,-18.099999999999998,0.0,0.05
219,-20.799999999999997,0.0,0.05
220,-18.099999999999998,0.0,0.05
221,-17.2,0.0,0.05
222,-15.4,0.0,0.05
223,-19.0,0.0,0.05
224,-19.0,0.0,0.05
225,-18.099999999999998,0.0,0.05
226,-16.3,0.0,0.05
227,9.7,1.0,0.05
228,-18.099999999999998,0.0,0.05
229,-20.799999999999997,0.0,0.05
230,-18.099999999999998,0.0,0.05
231,-15.4,0.0,0.05
232,-17.2,0.0,0.05
233,-17.199999999999996,0.0,0.05
234,-20.799999999999997,0.0,0.05
235,-19.0,0.0,0.05
236,7.6,1.0,0.05
237,-22.6,0.0,0.05
238,-21.7,0.0,0.05
239,-18.1,0.0,0.05
240,-19.0,0.0,0.05
241,-19.9,0.0,0.05
242,-19.9,0.0,0.05
243,6.1000000000000005,1.0,0.05
244,-20.799999999999997,0.0,0.05
245,-18.1,0.0,0.05
246,-14.5,0.0,0.05
247,-17.2,0.0,0.05
248,8.8,1.0,0.05
249,9.399999999999999,1.0,0.05
250,-18.1,0.0,0.05
251,-22.6,0.0,0.05
252,-17.199999999999996,0.0,0.05
253,-16.3,0.0,0.05
254,-21.7,0.0,0.05
255,-17.2,0.0,0.05
256,8.8,1.0,0.05
257,-19.9,0.0,0.05
258,-20.799999999999997,0.0,0.05
259,-21.7,0.0,0.05
260,-19.0,0.0,0.05
261,-21.7,0.0,0.05
262,-19.0,0.0,0.05
263,-17.2,0.0,0.05
264,-22.6,0.0,0.05
265,-14.5,0.0,0.05
266,-20.799999999999997,0.0,0.05
267,-20.799999999999997,0.0,0.05
268,-22.6,0.0,0.05
269,-19.9,0.0,0.05
270,-17.200000000000003,0.0,0.05
271,-21.7,0.0,0.05
272,-16.299999999999997,0.0,0.05
273,-20.799999999999997,0.0,0.05
274,-22.6,0.0,0.05
275,-21.7,0.0,0.05
276,-14.5,0.0,0.05
277,-18.1,0.0,0.05
278,-19.9,0.0,0.05
279,-20.799999999999997,0.0,0.05
280,9.7,1.0,0.05
281,-17.199999999999996,0.0,0.05
282,-19.9,0.0,0.05
283,-18.1,0.0,0.05
284,4.900000000000002,1.0,0.05
285,-19.0,0.0,0.05
286,-19.9,0.0,0.05
287,8.8,1.0,0.05
288,8.8,1.0,0.05
289,-19.0,0.0,0.05
290,6.699999999999999,1.0,0.05
291,-19.9,0.0,0.05
292,-15.4,0.0,0.05
293,-18.099999999999998,0.0,0.05
294,9.399999999999999,1.0,0.05
295,4.0,1.0,0.05
296,-16.3,0.0,0.05
297,-21.7,0.0,0.05
298,-14.5,0.0,0.05
299,-21.7,0.0,0.05
300,-18.1,0.0,0.05
301,-17.199999999999996,0.0,0.05
302,-21.7,0.0,0.05
303,-19.9,0.0,0.05
304,-18.099999999999998,0.0,0.05
305,-19.0,0.0,0.05
306,-15.4,0.0,0.05
307,-19.0,0.0,0.05
308,-19.9,0.0,0.05
309,11.5,1.0,0.05
310,13.6,1.0,0.05
311,-20.799999999999997,0.0,0.05
312,-20.799999999999997,0.0,0.05
313,-18.1,0.0,0.05
314,-19.9,0.0,0.05
315,-19.0,0.0,0.05
316,-19.0,0.0,0.05
317,-21.7,0.0,0.05
318,-19.0,0.0,0.05
319,-20.799999999999997,0.0,0.05
320,-14.5,0.0,0.05
321,-16.299999999999997,0.0,0.05
322,-19.9,0.0,0.05
323,-20.799999999999997,0.0,0.05
324,-19.0,0.0,0.05
325,-18.099999999999998,0.0,0.05
326,-20.799999999999997,0.0,0.05
327,-19.0,0.0,0.05
328,-19.9,0.0,0.05
329,-19.0,0.0,0.05
330,-16.3,0.0,0.05
331,-19.0,0.0,0.05
332,5.8000000000000025,1.0,0.05
333,-21.7,0.0,0.05
334,-21.7,0.0,0.05
335,6.7,1.0,0.05
336,5.200000000000001,1.0,0.05
337,-16.3,0.0,0.05
338,-21.7,0.0,0.05
339,-16.3,0.0,0.05
340,-15.4,0.0,0.05
341,-19.0,0.0,0.05
342,-19.0,0.0,0.05
343,4.9,1.0,0.05
344,5.8000000000000025,1.0,0.05
345,-21.7,0.0,0.05
346,-21.7,0.0,0.05
347,-20.799999999999997,0.0,0.05
348,-19.9,0.0,0.05
349,-18.1,0.0,0.05
350,-19.0,0.0,0.05
351,-20.799999999999997,0.0,0.05
352,-19.0,0.0,0.05
353,-20.799999999999997,0.0,0.05
354,4.000000000000002,1.0,0.05
355,-19.0,0.0,0.05
356,8.2,1.0,0.05
357,-18.1,0.0,0.05
358,-19.0,0.0,0.05
359,-19.9,0.0,0.05
360,-19.0,0.0,0.05
361,3.1000000000000014,1.0,0.05
362,-15.4,0.0,0.05
363,12.700000000000001,1.0,0.05
364,-22.6,0.0,0.05
365,-16.3,0.0,0.05
366,4.900000000000002,1.0,0.05
367,-16.299999999999997,0.0,0.05
368,-16.299999999999997,0.0,0.05
369,-16.299999999999997,0.0,0.05
370,-20.799999999999997,0.0,0.05
371,-17.199999999999996,0.0,0.05
372,-14.5,0.0,0.05
373,-20.799999999999997,0.0,0.05
374,-18.1,0.0,0.05
375,-19.0,0.0,0.05
376,-19.9,0.0,0.05
377,-15.4,0.0,0.05
378,-19.9,0.0,0.05
379,-16.3,0.0,0.05
380,-16.3,0.0,0.05
381,-19.0,0.0,0.05
382,-19.9,0.0,0.05
383,7.6,1.0,0.05
384,-16.3,0.0,0.05
385,-22.6,0.0,0.05
386,8.8,1.0,0.05
387,-14.5,0.0,0.05
388,-20.799999999999997,0.0,0.05
389,6.1,1.0,0.05
390,-16.299999999999997,0.0,0.05
391,-20.799999999999997,0.0,0.05
392,-22.6,0.0,0.05
393,-17.199999999999996,0.0,0.05
394,9.400000000000002,1.0,0.05
395,-18.1,0.0,0.05
396,-17.2,0.0,0.05
397,-19.9,0.0,0.05
398,-20.799999999999997,0.0,0.05
399,-20.799999999999997,0.0,0.05
400,-17.2,0.0,0.05
401,-15.4,0.0,0.05
402,5.200000000000001,1.0,0.05
403,-20.799999999999997,0.0,0.05
404,-22.6,0.0,0.05
405,9.7,1.0,0.05
406,-20.799999999999997,0.0,0.05
407,-14.5,0.0,0.05
408,-17.2,0.0,0.05
409,-15.399999999999997,0.0,0.05
410,-15.399999999999997,0.0,0.05
411,10.9,1.0,0.05
412,-19.0,0.0,0.05
413,-17.2,0.0,0.05
414,-19.9,0.0,0.05
415,-18.1,0.0,0.05
416,-19.0,0.0,0.05
417,-21.7,0.0,0.05
418,-18.1,0.0,0.05
419,-13.600000000000001,0.0,0.05
420,-19.0,0.0,0.05
421,-17.2,0.0,0.05
422,-18.099999999999998,0.0,0.05
423,-13.6,0.0,0.05
424,-19.9,0.0,0.05
425,-19.0,0.0,0.05
426,4.000000000000002,1.0,0.05
427,-21.7,0.0,0.05
428,-19.0,0.0,0.05
429,-15.4,0.0,0.05
430,-18.099999999999998,0.0,0.05
431,-17.200000000000003,0.0,0.05
432,-22.6,0.0,0.05
433,-17.200000000000003,0.0,0.05
434,-18.1,0.0,0.05
435,-19.0,0.0,0.05
436,-19.0,0.0,0.05
437,-17.2,0.0,0.05
438,-18.099999999999998,0.0,0.05
439,-19.0,0.0,0.05
440,-21.7,0.0,0.05
441,9.7,1.0,0.05
442,12.7,1.0,0.05
443,-22.6,0.0,0.05
444,-14.5,0.0,0.05
445,-13.6,0.0,0.05
446,-20.799999999999997,0.0,0.05
447,-16.3,0.0,0.05
448,-14.5,0.0,0.05
449,-17.2,0.0,0.05
450,-19.0,0.0,0.05
451,-18.1,0.0,0.05
452,7.300000000000001,1.0,0.05
453,-20.799999999999997,0.0,0.05
454,-18.1,0.0,0.05
455,-17.2,0.0,0.05
456,-17.2,0.0,0.05
457,-18.1,0.0,0.05
458,-16.299999999999997,0.0,0.05
459,-17.2,0.0,0.05
460,7.8999999999999995,1.0,0.05
461,-21.7,0.0,0.05
462,-14.5,0.0,0.05
463,-17.199999999999996,0.0,0.05
464,-16.3,0.0,0.05
465,-19.9,0.0,0.05
466,-16.3,0.0,0.05
467,7.0,1.0,0.05
468,-19.9,0.0,0.05
469,-16.299999999999997,0.0,0.05
470,-20.799999999999997,0.0,0.05
471,-19.0,0.0,0.05
472,-20.799999999999997,0.0,0.05
473,-19.9,0.0,0.05
474,-22.6,0.0,0.05
475,-17.2,0.0,0.05
476,-21.7,0.0,0.05
477,-21.7,0.0,0.05
478,-21.7,0.0,0.05
479,-19.9,0.0,0.05
480,-18.1,0.0,0.05
481,-19.0,0.0,0.05
482,-22.6,0.0,0.05
483,-17.199999999999996,0.0,0.05
484,-16.299999999999997,0.0,0.05
